Key,Source,Context,Example,en,fr
action.block,Block,JutsuBattlegrounds,,Block,Garde
action.dash,Dash,JutsuBattlegrounds,,Dash,Ruée
action.melee,Melee,JutsuBattlegrounds,,Melee,Corps à corps
action.menu,Menu,JutsuBattlegrounds,,Menu,Menu
battlepass.alreadyClaimed,Already claimed.,JutsuBattlegrounds,,Already claimed.,Déjà récupéré.
battlepass.claim,Claim,JutsuBattlegrounds,,Claim,Récupérer
battlepass.claimed,Claimed,JutsuBattlegrounds,,Claimed,Récupéré
battlepass.claimedToast,Claimed: {reward},JutsuBattlegrounds,,Claimed: {reward},Récupéré : {reward}
battlepass.completed,Completed!,JutsuBattlegrounds,,Completed!,Terminé !
battlepass.free,Free,JutsuBattlegrounds,,Free,Gratuit
battlepass.notReached,Tier {tier} not reached yet.,JutsuBattlegrounds,,Tier {tier} not reached yet.,Palier {tier} pas encore atteint.
battlepass.premium,Premium,JutsuBattlegrounds,,Premium,Premium
battlepass.premiumRequired,Premium pass required.,JutsuBattlegrounds,,Premium pass required.,Pass premium requis.
battlepass.reward.cosmetic,Cosmetic: {name},JutsuBattlegrounds,,Cosmetic: {name},Cosmétique : {name}
battlepass.reward.none,No reward,JutsuBattlegrounds,,No reward,Aucune récompense
battlepass.reward.ryo,{amount} Ryo,JutsuBattlegrounds,,{amount} Ryo,{amount} Ryo
battlepass.reward.xpBoost,XP boost ({minutes} min),JutsuBattlegrounds,,XP boost ({minutes} min),Boost d'XP ({minutes} min)
battlepass.tier,Tier {tier} / {max},JutsuBattlegrounds,,Tier {tier} / {max},Palier {tier} / {max}
battlepass.title,Battle Pass — Season {season},JutsuBattlegrounds,,Battle Pass — Season {season},Battle Pass — Saison {season}
battlepass.unlockPremium,Unlock Premium,JutsuBattlegrounds,,Unlock Premium,Débloquer Premium
battlepass.xp,{xp} / {needed} XP,JutsuBattlegrounds,,{xp} / {needed} XP,{xp} / {needed} XP
common.back,Back,JutsuBattlegrounds,,Back,Retour
common.cancel,Cancel,JutsuBattlegrounds,,Cancel,Annuler
common.close,Close,JutsuBattlegrounds,,Close,Fermer
common.level,Level {level},JutsuBattlegrounds,,Level {level},Niveau {level}
common.locked,Locked,JutsuBattlegrounds,,Locked,Verrouillé
common.no,No,JutsuBattlegrounds,,No,Non
common.ok,OK,JutsuBattlegrounds,,OK,OK
common.reset,Reset,JutsuBattlegrounds,,Reset,Réinitialiser
common.save,Save,JutsuBattlegrounds,,Save,Sauvegarder
common.yes,Yes,JutsuBattlegrounds,,Yes,Oui
cosmetic.AnbuMask,Anbu Mask,JutsuBattlegrounds,,Anbu Mask,Masque Anbu
cosmetic.AuraCrimson,Crimson Aura,JutsuBattlegrounds,,Crimson Aura,Aura Pourpre
cosmetic.AuraEmber,Ember Aura,JutsuBattlegrounds,,Ember Aura,Aura de Braise
cosmetic.AuraFrost,Frost Aura,JutsuBattlegrounds,,Frost Aura,Aura de Givre
cosmetic.AuraHokage,Hokage Aura,JutsuBattlegrounds,,Hokage Aura,Aura du Hokage
cosmetic.AuraStorm,Storm Aura,JutsuBattlegrounds,,Storm Aura,Aura de Tempête
cosmetic.AuraVoid,Void Aura,JutsuBattlegrounds,,Void Aura,Aura du Néant
